,LetterBody
Nuclear cataract (disorder),82.19222079547487
Cataract (disorder),91.68876807244413
Cortical cataract (disorder),82.14567792891619
Posterior subcapsular cataract (disorder),85.7006963994666
Pseudophakia (disorder),99.70496750232127
Keratoconus (disorder),123.66117647058823
Rhegmatogenous retinal detachment - macula on (disorder),99.35672005571031
Rhegmatogenous retinal detachment - macula off (disorder),103.76740881099005
Diabetes mellitus type 2 (disorder),140.93762327416172
Posterior subcapsular polar cataract (disorder),73.7881690140845
Glaucoma (disorder),124.38511418099803
Epiretinal membrane (disorder),106.64271166715159
Age-related macular degeneration (disorder),99.27293281653746
Chalazion (disorder),108.3429821608886
Vitreous hemorrhage (disorder),103.99365303244005
Open-angle glaucoma (disorder),113.66929133858268
Choroidal neovascular membrane (disorder),99.17168209876543
Primary open angle glaucoma (disorder),112.91099038863351
Macular hole (disorder),103.76017699115044
Pterygium (disorder),73.84542743538768
Hypermature cataract (disorder),84.71385842472583
Ocular hypertension (disorder),105.88152173913043
Posterior capsule opacification (disorder),99.65612185120094
Cyst of eyelid (disorder),92.10497900419917
Diabetic retinopathy (disorder),123.84877126654064
Retinal detachment (disorder),99.53106212424849
Secondary glaucoma (disorder),141.21131805157594
Proliferative diabetic retinopathy (disorder),122.44514601420678
Nuclear sclerotic cataract (disorder),96.9092356687898
Esotropia (disorder),105.93769968051119
Tumor of eyelid (disorder),97.35496794871794
Ptosis of eyelid (disorder),107.05689102564102
Exotropia (disorder),93.84116140051238
Disorder of lacrimal system (disorder),90.56472632493484
Exudative age-related macular degeneration (disorder),101.62645218945487
Fuchs' corneal dystrophy (disorder),95.79140555058191
Nonexudative age-related macular degeneration (disorder),98.18486590038314
Bilateral cataracts (disorder),97.17946257197697
Acquired cataract (no previous glaucoma) (disorder),131.56153846153848
Cystoid macular edema (disorder),129.994
Blepharitis (disorder),142.04069175991862
Glaucoma Suspect (disorder),102.27292110874201
Myopia (disorder),124.48561946902655
Primary Angle closure (disorder),110.6142365097589
Astigmatism (disorder),114.77358490566037
Hypermetropia (disorder),123.92317380352645
Branch retinal vein occlusion with macular edema (disorder),110.71283354510801
Angle-closure glaucoma (disorder),121.37483787289234
Amblyopia (disorder),116.0929614873838
Acute anterior uveitis (disorder),151.1634877384196
Cataracta brunescens (disorder),94.17341040462428
Diabetic macular edema (disorder),127.49204052098408
Entropion (disorder),105.29420289855072
Anterior uveitis (disorder),160.37946428571428
Ectropion of eyelid (disorder),102.09118541033435
Angle-closure glaucoma - borderline (disorder),106.48909657320873
Traction detachment of retina (disorder),119.96369636963696
conjunctivitis-allergic,190.86409395973155
Primary angle-closure glaucoma (disorder),110.5996533795494
Intermittent exotropia (disorder),114.84115523465704
Low tension glaucoma (disorder),101.51542649727767
Anisometropia (disorder),124.10650887573965
Central retinal vein occlusion (disorder),116.14570858283433
Corneal decompensation (disorder),113.28803245436106
Vitreomacular traction syndrome (disorder),114.4560327198364
Thyroid eye disease (disorder),111.17083333333333
Congenital cataract (disorder),115.86192468619247
Chronic anterior uveitis (disorder),159.4715789473684
Diabetic cataract associated with type II diabetes mellitus (disorder),139.4915254237288
Diabetic cataract (disorder),131.46153846153845
Dislocated intraocular lens (disorder),103.78969957081546
Retained lens matter in vitreous (disorder),111.27450980392157
"Retinal ""U"" tear (disorder)",77.97411764705882
Central retinal vein occlusion with macular edema (disorder),109.95508274231679
Corneal abrasion (disorder),139.3009708737864
Posterior vitreous detachment (disorder),107.74327628361858
Aphakia (disorder),98.4812030075188
Intermediate uveitis (disorder),159.59798994974875
Trichiasis (disorder),97.51804123711341
Aphakic glaucoma (disorder),112.91472868217055
Mild non-proliferative diabetic retinopathy (disorder),129.212987012987
no ophthalmic abnormality detected/ normal examination,163.86813186813185
Pigment dispersion syndrome (disorder),111.59116022099448
Bullous keratopathy (disorder),123.53276353276354
Recurrent erosion of cornea (disorder),103.45845272206304
Neovascular glaucoma (disorder),157.23030303030302
Calcific band keratopathy (disorder),104.51681957186544
Suspicious lesion of the eyelid (disorder),118.84918032786885
Acute angle-closure glaucoma (disorder),130.7828947368421
Diabetes mellitus type 1 (disorder),157.08278145695365
Cataract in eye inflammatory disorder (disorder),162.10596026490066
Vernal keratoconjunctivitis (disorder),185.46621621621622
Diabetic vitreous hemorrhage (disorder),114.52203389830508
Traumatic cataract (disorder),97.82033898305085
Normal Tension Glaucoma (disorder),109.41156462585035
Seasonal allergic conjunctivitis (disorder),113.48070175438596
Primary Ocular hypertension (disorder),97.69503546099291
Myopic macular degeneration (disorder),98.68683274021352
Pseudoexfoliation of lens capsule (disorder),112.15467625899281
On examination - left eye stable treated proliferative diabetic retinopathy (disorder),125.65342960288808
Corneal scar (disorder),106.6367041198502
Preseptal cellulitis (disorder),139.08396946564886
Congenital nasolacrimal duct obstruction (disorder),109.40384615384616
Advanced open-angle glaucoma (disorder),125.84274193548387
Corneal graft failure (disorder),115.01244813278008
Central retinal vein occlusion - ischemic (disorder),120.79253112033194
Full thickness macular hole stage IV (disorder),96.65690376569037
Nevus of choroid (disorder),133.58649789029536
Exophoria (disorder),112.42194092827005
On examination - right eye stable treated proliferative diabetic retinopathy (disorder),123.18297872340426
Accommodative esotropia (disorder),107.22413793103448
Central serous chorioretinopathy (disorder),123.76724137931035
